Req ID,Req Name,Pre-requisite,Cost,Value,PRE_REQ_COUNT,Weightage,Difference
103,Home Page,102,7,8,21,40.125,1.2916666666666643
164,Check Event,114,3,6,9,28.5,10.333333333333336
127,Select Movie,114,6,9,8,27.333333333333336,11.5
147,Payment Timer,143,3,8,7,26.625,12.208333333333336
146,Payment Method,143,5,9,10,24.444444444444443,14.388888888888893
194,Corporate ,103,7,8,5,24.125,14.708333333333336
143,Proceed for Payment,142,1,7,4,23.857142857142858,14.976190476190478
179,Check Sport Event,114,5,7,4,23.285714285714285,15.547619047619051
139,Select Seats,138,5,8,3,22.375,16.458333333333336
188,Gift Cards,103,5,6,3,22.166666666666664,16.66666666666667
133,Book Ticket,127,4,9,1,20.555555555555557,18.27777777777778
136,Select Show Time,133,4,8,1,20.5,18.333333333333336
138,Number of Seats,137,5,8,1,20.375,18.458333333333336
192,Offers,188,6,9,1,20.333333333333336,18.5
183,Register/Book Sport,179,4,6,1,20.333333333333336,18.5
172,Book Event,164,4,6,1,20.333333333333336,18.5
105,Search,103,6,7,1,20.142857142857142,18.690476190476193
101,URL,0,8,9,1,20.11111111111111,18.722222222222225
190,E-Card category,189,3,7,0,19.57142857142857,19.261904761904766
152,UPI,146,4,8,0,19.5,19.333333333333336
157,Payment Initiation,146,3,6,0,19.5,19.333333333333336
102,Choose Region Modal,101,3,2,1,19.5,19.333333333333336
125,BookMyShow App,103,5,9,0,19.444444444444443,19.388888888888893
187,Change Language,103,4,7,0,19.42857142857143,19.404761904761905
149,Credit/Debit Card,146,5,8,0,19.375,19.458333333333336
158,Payment Confirmation,147,5,7,0,19.285714285714285,19.54761904761905
162,Cancel Ticket,147,5,7,0,19.285714285714285,19.54761904761905
150,Netbanking,146,5,7,0,19.285714285714285,19.54761904761905
114,Category List,112,5,7,5,19.285714285714285,19.54761904761905
159,QR Code,147,6,8,0,19.25,19.583333333333336
199,Partner with BookMyShow,194,4,5,0,19.2,19.633333333333336
148,Quikpay,146,6,7,0,19.142857142857142,19.690476190476193
106,Search Results,105,7,8,0,19.125,19.708333333333336
128,Movie Details,127,7,8,0,19.125,19.708333333333336
185,Sport Ticket Confirmation,147,5,5,0,19.0,19.833333333333336
184,Sport Ticket details,183,5,5,0,19.0,19.833333333333336
168,Event Base Price,164,3,3,0,19.0,19.833333333333336
200,Logout,103,5,4,0,18.75,20.083333333333336
178, Browse Sports,114,4,3,0,18.666666666666664,20.16666666666667
166,Event Date,164,4,3,0,18.666666666666664,20.16666666666667
163,Browse events,114,4,3,0,18.666666666666664,20.16666666666667
113,Category,103,4,3,0,18.666666666666664,20.16666666666667
196,Brand Promotion,194,6,4,0,18.5,20.333333333333336
167,Event Location,164,6,4,0,18.5,20.333333333333336
165,Event Description,164,5,3,0,18.333333333333336,20.5
142,Select Ticket Type,139,2,8,1,15.75,23.083333333333336
137,Terms and Conditions,136,2,4,1,15.5,23.333333333333336
174,Event Ticket Category,172,5,7,1,15.285714285714286,23.54761904761905
189,E- Gift Cards,188,4,5,1,15.2,23.633333333333336
175,Event Ticket Quantity,174,4,4,1,15.0,23.833333333333336
156,Earn Loyalty Points,146,2,7,0,14.714285714285714,24.11904761904762
126,Help,103,2,6,0,14.666666666666666,24.16666666666667
141,Review Booking Summary,139,4,8,0,14.5,24.333333333333336
130,View Movie Reviews,127,4,8,0,14.5,24.333333333333336
198,Corporate Gifting,194,4,8,0,14.5,24.333333333333336
112,Sign Up,107,6,4,1,14.5,24.333333333333336
191,Physical Gift Cards,188,4,6,0,14.333333333333334,24.5
176,Event Ticket Review,175,3,4,0,14.25,24.583333333333336
186,Get Personalized Updates,103,6,8,0,14.25,24.583333333333336
134,Corporate Booking,127,6,8,0,14.25,24.583333333333336
118,Best language genre movies,103,4,5,0,14.2,24.633333333333336
144,Share Contact Details,143,5,6,0,14.166666666666666,24.66666666666667
111,Continue with mobile number or email id,107,5,6,0,14.166666666666666,24.66666666666667
160,Update Details,147,6,7,0,14.142857142857142,24.690476190476193
107,Login Button,103,6,3,5,14.0,24.833333333333336
131,Rate Movie ,127,6,6,0,14.0,24.833333333333336
122,To do in the region,103,6,6,0,14.0,24.833333333333336
195,Corporate Discount Vouchers,194,8,8,0,14.0,24.833333333333336
151,Mobile Wallets,146,6,6,0,14.0,24.833333333333336
140,Prebook Food,139,7,7,0,14.0,24.833333333333336
193,Filter Offers,192,5,5,0,14.0,24.833333333333336
173,Bulk Book Event,164,6,6,0,14.0,24.833333333333336
116,Resend Booking Confirmation,103,7,6,0,13.833333333333334,25.0
121,Trending Movies Reviews,103,6,5,0,13.8,25.033333333333335
153,Gift Vouchers,146,6,5,0,13.8,25.033333333333335
119,Movies by Genre,103,5,4,0,13.75,25.083333333333336
120,Popular movies by language,103,5,4,0,13.75,25.083333333333336
104,Change Region,103,4,3,0,13.666666666666666,25.16666666666667
123,Quick book,103,8,6,0,13.666666666666666,25.16666666666667
177,Event Ticket Confirmation,147,7,5,0,13.6,25.233333333333334
124,Archived Collection,103,7,5,0,13.6,25.233333333333334
145,Apply Promocode,143,6,4,0,13.5,25.333333333333336
171,Share Event,164,5,3,0,13.333333333333334,25.5
154,Redeem Points,146,5,3,0,13.333333333333334,25.5
129,Movie's Trending Stories,127,7,4,0,13.25,25.583333333333336
181,Sport Venue,179,4,2,0,13.0,25.833333333333336
135,Applicable Offers,127,3,5,0,10.4,28.433333333333337
180,Sport Event Description,179,3,3,0,10.0,28.833333333333336
197,Bulk SMS Communication,194,7,7,0,10.0,28.833333333333336
108,Forgot Password,107,5,4,0,9.75,29.083333333333336
161,Resend Confirmation,147,7,5,0,9.6,29.233333333333334
169,View Larger Map,164,6,4,0,9.5,29.333333333333336
155,Credit Vouchers,146,6,4,0,9.5,29.333333333333336
182,Sport Event Date,179,3,2,0,9.5,29.333333333333336
117,Subscribe to Newsletters,103,3,2,0,9.5,29.333333333333336
132,Share Movie ,127,8,5,0,9.4,29.433333333333337
110,Continue with Google,107,7,3,0,8.666666666666666,30.16666666666667
170,Event Terms,164,3,1,0,8.0,30.833333333333336
115,Customer Care,103,7,2,0,7.5,31.333333333333336
109,Continue with Facebook,107,7,1,0,4.0,34.833333333333336
