Req ID,Req Name,Pre-requisite,Cost,Value,PRE_REQ_COUNT,Weightage,Difference
103,Home Page,102,7,8,35,54.125,0.6138888888888872
143,Proceed for Payment,142,1,7,21,40.85714285714286,12.653968253968252
102,Choose Region Modal,101,3,2,22,40.5,13.011111111111113
114,Category List,112,5,7,26,40.285714285714285,13.225396825396828
164,Check Event,114,3,6,10,29.5,24.011111111111113
127,Select Movie,114,6,9,9,28.333333333333336,25.177777777777777
147,Payment Timer,143,3,8,7,26.625,26.886111111111113
146,Payment Method,143,5,9,10,24.444444444444443,29.06666666666667
179,Check Sport Event,114,5,7,5,24.285714285714285,29.225396825396828
188,Gift Cards,103,5,6,5,24.166666666666664,29.34444444444445
194,Corporate ,103,7,8,5,24.125,29.386111111111113
138,Number of Seats,137,5,8,4,23.375,30.136111111111113
139,Select Seats,138,5,8,4,23.375,30.136111111111113
133,Book Ticket,127,4,9,2,21.555555555555557,31.955555555555556
136,Select Show Time,133,4,8,2,21.5,32.01111111111111
172,Book Event,164,4,6,2,21.333333333333336,32.17777777777778
101,URL,0,8,9,2,21.11111111111111,32.400000000000006
183,Register/Book Sport,179,4,6,1,20.333333333333336,33.17777777777778
192,Offers,188,6,9,1,20.333333333333336,33.17777777777778
105,Search,103,6,7,1,20.142857142857142,33.36825396825397
142,Select Ticket Type,139,2,8,5,19.75,33.76111111111111
190,E-Card category,189,3,7,0,19.57142857142857,33.93968253968254
157,Payment Initiation,146,3,6,0,19.5,34.01111111111111
152,UPI,146,4,8,0,19.5,34.01111111111111
112,Sign Up,107,6,4,6,19.5,34.01111111111111
125,BookMyShow App,103,5,9,0,19.444444444444443,34.06666666666667
187,Change Language,103,4,7,0,19.42857142857143,34.08253968253968
149,Credit/Debit Card,146,5,8,0,19.375,34.13611111111111
162,Cancel Ticket,147,5,7,0,19.285714285714285,34.22539682539683
158,Payment Confirmation,147,5,7,0,19.285714285714285,34.22539682539683
150,Netbanking,146,5,7,0,19.285714285714285,34.22539682539683
159,QR Code,147,6,8,0,19.25,34.26111111111111
199,Partner with BookMyShow,194,4,5,0,19.2,34.31111111111112
148,Quikpay,146,6,7,0,19.142857142857142,34.36825396825397
106,Search Results,105,7,8,0,19.125,34.38611111111111
128,Movie Details,127,7,8,0,19.125,34.38611111111111
185,Sport Ticket Confirmation,147,5,5,0,19.0,34.51111111111111
184,Sport Ticket details,183,5,5,0,19.0,34.51111111111111
168,Event Base Price,164,3,3,0,19.0,34.51111111111111
200,Logout,103,5,4,0,18.75,34.76111111111111
178, Browse Sports,114,4,3,0,18.666666666666664,34.84444444444445
113,Category,103,4,3,0,18.666666666666664,34.84444444444445
163,Browse events,114,4,3,0,18.666666666666664,34.84444444444445
166,Event Date,164,4,3,0,18.666666666666664,34.84444444444445
196,Brand Promotion,194,6,4,0,18.5,35.01111111111111
167,Event Location,164,6,4,0,18.5,35.01111111111111
165,Event Description,164,5,3,0,18.333333333333336,35.17777777777778
137,Terms and Conditions,136,2,4,2,16.5,37.01111111111111
174,Event Ticket Category,172,5,7,2,16.285714285714285,37.22539682539683
189,E- Gift Cards,188,4,5,1,15.2,38.31111111111112
175,Event Ticket Quantity,174,4,4,1,15.0,38.51111111111111
107,Login Button,103,6,3,6,15.0,38.51111111111111
156,Earn Loyalty Points,146,2,7,0,14.714285714285714,38.7968253968254
126,Help,103,2,6,0,14.666666666666666,38.84444444444445
130,View Movie Reviews,127,4,8,0,14.5,39.01111111111111
198,Corporate Gifting,194,4,8,0,14.5,39.01111111111111
141,Review Booking Summary,139,4,8,0,14.5,39.01111111111111
191,Physical Gift Cards,188,4,6,0,14.333333333333334,39.17777777777778
176,Event Ticket Review,175,3,4,0,14.25,39.26111111111111
186,Get Personalized Updates,103,6,8,0,14.25,39.26111111111111
134,Corporate Booking,127,6,8,0,14.25,39.26111111111111
118,Best language genre movies,103,4,5,0,14.2,39.31111111111112
111,Continue with mobile number or email id,107,5,6,0,14.166666666666666,39.34444444444445
144,Share Contact Details,143,5,6,0,14.166666666666666,39.34444444444445
160,Update Details,147,6,7,0,14.142857142857142,39.36825396825397
140,Prebook Food,139,7,7,0,14.0,39.51111111111111
193,Filter Offers,192,5,5,0,14.0,39.51111111111111
195,Corporate Discount Vouchers,194,8,8,0,14.0,39.51111111111111
131,Rate Movie ,127,6,6,0,14.0,39.51111111111111
122,To do in the region,103,6,6,0,14.0,39.51111111111111
151,Mobile Wallets,146,6,6,0,14.0,39.51111111111111
173,Bulk Book Event,164,6,6,0,14.0,39.51111111111111
116,Resend Booking Confirmation,103,7,6,0,13.833333333333334,39.67777777777778
121,Trending Movies Reviews,103,6,5,0,13.8,39.71111111111111
153,Gift Vouchers,146,6,5,0,13.8,39.71111111111111
120,Popular movies by language,103,5,4,0,13.75,39.76111111111111
119,Movies by Genre,103,5,4,0,13.75,39.76111111111111
123,Quick book,103,8,6,0,13.666666666666666,39.84444444444445
104,Change Region,103,4,3,0,13.666666666666666,39.84444444444445
177,Event Ticket Confirmation,147,7,5,0,13.6,39.91111111111111
124,Archived Collection,103,7,5,0,13.6,39.91111111111111
145,Apply Promocode,143,6,4,0,13.5,40.01111111111111
154,Redeem Points,146,5,3,0,13.333333333333334,40.17777777777778
171,Share Event,164,5,3,0,13.333333333333334,40.17777777777778
129,Movie's Trending Stories,127,7,4,0,13.25,40.26111111111111
181,Sport Venue,179,4,2,0,13.0,40.51111111111111
135,Applicable Offers,127,3,5,0,10.4,43.111111111111114
180,Sport Event Description,179,3,3,0,10.0,43.51111111111111
197,Bulk SMS Communication,194,7,7,0,10.0,43.51111111111111
108,Forgot Password,107,5,4,0,9.75,43.76111111111111
161,Resend Confirmation,147,7,5,0,9.6,43.91111111111111
182,Sport Event Date,179,3,2,0,9.5,44.01111111111111
169,View Larger Map,164,6,4,0,9.5,44.01111111111111
117,Subscribe to Newsletters,103,3,2,0,9.5,44.01111111111111
155,Credit Vouchers,146,6,4,0,9.5,44.01111111111111
132,Share Movie ,127,8,5,0,9.4,44.111111111111114
110,Continue with Google,107,7,3,0,8.666666666666666,44.84444444444445
170,Event Terms,164,3,1,0,8.0,45.51111111111111
115,Customer Care,103,7,2,0,7.5,46.01111111111111
109,Continue with Facebook,107,7,1,0,4.0,49.51111111111111
